isbn13,bk_title,bk_authors,categories,thumbnail,description,published_year
9780451160195,Fools Die,Mario Puzo,Fiction,http://books.google.com/books/content?id=HSSZxwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Merlyn and his brother, Artie, find themselves immersed in corruption and violence as they navigate the worlds of gambling, publishing, and the film industry.",1979
9780451160317,I Never Promised You a Rose Garden,Joanne Greenberg,Mental illness,http://books.google.com/books/content?id=I2R1xwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Chronicles the three-year battle of a mentally ill, but perceptive, teenage girl against a world of her own creation, emphasizing her relationship with the doctor who gave her the ammunition of self-understanding with which to destroy that world of fantasy.",1989
9780451160522,The Gunslinger,Stephen King,Fiction,http://books.google.com/books/content?id=6wJGxwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Roland, the world's last gunslinger, tracks an enigmatic Man in Black toward a forbidding dark tower, fighting forces both mortal and other-worldly on his quest. Reissue.",1982
9780451161352,Cujo,Stephen King,Fiction,http://books.google.com/books/content?id=Vy6hD4mvel8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,The #1 bestseller- for King's rabid fans. Acute family dog turns into a vicious family killer in King's canine classic.,1982
9780451163080,For the New Intellectual,Ayn Rand,Literary Collections,http://books.google.com/books/content?id=5eurZ41ne-cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Here is Ayn Rand's first non-fiction work--a challenge to the prevalent philosophical doctrines of our time and the ""atmosphere of guilt, of panic, of despair, of boredom, and of all-pervasive evasion"" that they create. As incisive and relevant today as it was sixty years ago, this book presents the essentials of Ayn Rand's philosophy ""for those who wish to acquire an integrated view of existence."" In the title essay, she offers an analysis of Western culture, discusses the causes of its progress, its decline, its present bankruptcy, and points the road to an intellectual renaissance. One of the most controversial figures on the intellectual scene, Ayn Rand was the proponent of a moral philosophy--and ethic of rational self-interest--that stands in sharp opposition to the ethics of altruism and self-sacrifice. The fundamentals of this morality--""a philosophy for living on Earth""--are here vibrantly set forth by the spokesman for a new class, For the New Intellectual.",1961
9780451166586,The Eyes of the Dragon,Stephen King,Fiction,http://books.google.com/books/content?id=dWMsEPygyAMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"After Flagg, the evil court magician, sees a mouse chance upon a grain of dragon sand behind Prince Peter's shelves and die--as did the king--in fire and smoke, he plots to imprison Peter in the Needle and seize control of the kingdom. Reissue.",1988
9780451168610,Skeleton Crew,Stephen King,Fiction,http://books.google.com/books/content?id=AAsZqx_jQpIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Age-old images of fear fuse with the iconography of contemporary American life in this collection of twenty-two horror tales by the grandmaster of the genre. Reissue.,1986
9780451169518,It,Stephen King,Fiction,http://books.google.com/books/content?id=kJtLVMg9_XQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A group of teenagers stumbles upon an evil force that will eventually draw them all back to Derry, Maine, for a final showdown. Reissue.",1990
9780451170118,Night Shift,Stephen King,Fiction,http://books.google.com/books/content?id=jIQL9IxsU_sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Twenty stories of horror and nightmarish fantasy transform everyday situations into experiences of compelling terror in the worlds of the living, the dying, and the nonliving",1978
9780451173317,The Waste Lands,Stephen King,Fiction,http://books.google.com/books/content?id=kXaHJGQVZLIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,The foundations of Black House were built on The Dark Tower series,1993
9780451185976,The Langoliers,Stephen King,Horror tales,http://books.google.com/books/content?id=fTIsuJUtuc0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"On a flight from Los Angeles to Boston, only 11 passengers survive--but landing in a dead world makes them wish they had not survived.",1995
9780451187260,Matters of Choice,Noah Gordon,Fiction,http://books.google.com/books/content?id=eZDIpaB8VZYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Dr. Roberta Cole faces her hardest test--whether to keep the medical secret of a desperate girl or betray it to keep the love of the man who has erased the pain of her own failed marriage. Reprint.,1997
9780451188458,The Bone Collector,Jeffery Deaver,Fiction,http://books.google.com/books/content?id=eA7YPtfG1a0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Look who's back to chill readers to the bone... The first novel featuring Detective Lincoln Rhyme, from the New York Times bestselling author of The Stone Monkey.",1998
9780451192523,Ritual Sins,Anne Stuart,Fiction,http://books.google.com/books/content?id=EUNRNwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Intent on destroying the man who had wrung millions of dollars from her dying mother, Rachel Connery sets out to turn the tables on the notoriously manipulative, charismatic Luke Bardell, a man who relishes a challenge. Original.",1997
9780451200266,Devil's Embrace,Catherine Coulter,Fiction,http://books.google.com/books/content?id=2l5yNa-GUU8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Lord Anthony Welles kidnaps Cassandra Brougham, takes her away from her English fiance to Italy, and attempts to force her to marry him.",2000
